Entity,Code,Year,Change in global mean surface temperature caused by nitrous oxide emissions,Change in global mean surface temperature caused by methane emissions,Change in global mean surface temperature caused by CO₂ emissions
Afghanistan,AFG,1851,1.0316831e-7,0.0000011668086,0.0000016462297
Afghanistan,AFG,1852,2.0838755e-7,0.0000023405787,0.000003308613
Afghanistan,AFG,1853,3.1557e-7,0.00000352132,0.0000049866794
Afghanistan,AFG,1854,4.245944e-7,0.0000047090425,0.0000066800167
Afghanistan,AFG,1855,5.3530596e-7,0.0000059037557,0.000008388175
Afghanistan,AFG,1856,6.4751634e-7,0.0000071054687,0.00001011066
Afghanistan,AFG,1857,7.610037e-7,0.000008314192,0.000011847515
Afghanistan,AFG,1858,8.755127e-7,0.000009529935,0.000013598224
Afghanistan,AFG,1859,9.907544e-7,0.000010752708,0.00001536242
Afghanistan,AFG,1860,0.0000011064063,0.000011982519,0.000017145401
Afghanistan,AFG,1861,0.0000012222657,0.000013219752,0.000018944054
Afghanistan,AFG,1862,0.0000013382812,0.0000144644155,0.000020756319
Afghanistan,AFG,1863,0.000001454414,0.000015716521,0.000022581591
Afghanistan,AFG,1864,0.0000015706394,0.000016976082,0.00002441945
Afghanistan,AFG,1865,0.0000016869453,0.000018243105,0.00002626923
Afghanistan,AFG,1866,0.0000018033334,0.000019517604,0.000028130615
Afghanistan,AFG,1867,0.0000019198183,0.000020799589,0.000030003335
Afghanistan,AFG,1868,0.0000020364282,0.00002208907,0.000031887135
Afghanistan,AFG,1869,0.0000021532044,0.00002338606,0.000033781824
Afghanistan,AFG,1870,0.0000022702018,0.000024700681,0.000035778063
Afghanistan,AFG,1871,0.0000023891548,0.00002603512,0.000037846152
Afghanistan,AFG,1872,0.000002513015,0.000027389375,0.00003996406
Afghanistan,AFG,1873,0.0000026440496,0.000028763438,0.00004211974
Afghanistan,AFG,1874,0.0000027838423,0.0000301573,0.000044308297
Afghanistan,AFG,1875,0.000002933294,0.00003157096,0.00004652633
Afghanistan,AFG,1876,0.000003092621,0.000033004406,0.00004877143
Afghanistan,AFG,1877,0.000003261357,0.000034457637,0.00005104179
Afghanistan,AFG,1878,0.0000034383522,0.000035930643,0.000053335832
Afghanistan,AFG,1879,0.0000036217727,0.000037423422,0.000055652174
Afghanistan,AFG,1880,0.0000038091018,0.000038935963,0.00005806546
Afghanistan,AFG,1881,0.0000039986485,0.000040480798,0.00006055349
Afghanistan,AFG,1882,0.0000041900535,0.000042057927,0.00006309556
Afghanistan,AFG,1883,0.000004383029,0.00004366737,0.00006568213
Afghanistan,AFG,1884,0.0000045773595,0.00004530913,0.0000683084
Afghanistan,AFG,1885,0.0000047729027,0.00004698322,0.00007096845
Afghanistan,AFG,1886,0.0000049695877,0.000048689646,0.00007365966
Afghanistan,AFG,1887,0.000005167417,0.000050428425,0.000076380195
Afghanistan,AFG,1888,0.000005366464,0.000052199564,0.000079128244
Afghanistan,AFG,1889,0.000005566876,0.00005400307,0.00008190226
Afghanistan,AFG,1890,0.0000057765183,0.00005582948,0.00008472707
